Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39526,Boeing Versus Airbus: The Inside Story of the Greatest International Competition in Business,John Newhouse,"Newhouse, John",,"=""1400043360""","=""9781400043361""",0,3.61,Knopf,Hardcover,272,2007,2007,,2024/02/05,to-read,to-read (#145),to-read,,,,0,0
224127,The Israel Lobby and U.S. Foreign Policy,John J. Mearsheimer,"Mearsheimer, John J.",Stephen M. Walt,"=""0374177724""","=""9780374177720""",0,4.03,"Farrar, Straus and Giroux",Hardcover,484,2007,2006,,2024/02/05,to-read,to-read (#144),to-read,,,,0,0
205580050,The Apothecary Diaries (Light Novel): Volume 11,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.04,J-Novel Club,Kindle Edition,20,2024,2021,,2024/02/05,to-read,to-read (#143),to-read,,,,0,0
200359008,The Apothecary Diaries (Light Novel): Volume 10,Natsu Hyuuga,"Hyuuga, Natsu",,"=""""","=""""",0,4.36,J-Novel Club,Kindle Edition,292,2024,2021,,2024/02/05,to-read,to-read (#142),to-read,,,,0,0
170354415,The Apothecary Diaries (Light Novel): Volume 9,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.48,J-Novel Club,Kindle Edition,313,2023,2020,,2024/02/05,to-read,to-read (#141),to-read,,,,0,0
123003146,The Apothecary Diaries (Light Novel): Volume 8,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.52,J-Novel Club,Kindle Edition,275,2023,2019,,2024/02/05,to-read,to-read (#140),to-read,,,,0,0
80343208,The Apothecary Diaries (Light Novel): Volume 7,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.37,J-Novel Club,Kindle Edition,,2023,2018,,2024/02/05,to-read,to-read (#139),to-read,,,,0,0
61429356,The Apothecary Diaries (Light Novel): Volume 6,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.36,J-Novel Club,Kindle Edition,297,2022,2016,,2024/02/05,to-read,to-read (#138),to-read,,,,0,0
60173467,The Apothecary Diaries (Light Novel): Volume 5,Natsu Hyuuga,"Hyuuga, Natsu",,"=""""","=""""",0,4.33, ‎ J-Novel Club,Kindle Edition,293,2022,2016,,2024/02/05,to-read,to-read (#137),to-read,,,,0,0
59062875,The Apothecary Diaries (Light Novel): Volume 4,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.51,J-Novel Club,Kindle Edition,295,2022,2015,,2024/02/05,to-read,to-read (#136),to-read,,,,0,0
58272442,The Apothecary Diaries (Light Novel): Volume 3,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.49,J-Novel Club,Kindle Edition,313,2021,2015,,2024/02/05,to-read,to-read (#135),to-read,,,,0,0
57221611,The Apothecary Diaries (Light Novel): Volume 2,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.49,J-Novel Club,Kindle Edition,220,2021,2015,,2024/02/05,to-read,to-read (#134),to-read,,,,0,0
58093348,The Apothecary Diaries (Light Novel): Volume 1,Natsu Hyuuga,"Hyuuga, Natsu","Touko Shino, Kevin Steinbach","=""""","=""""",0,4.45,J-Novel Club,Kindle Edition,226,2021,2014,,2024/02/05,to-read,to-read (#133),to-read,,,,0,0
75495020,The Identity Trap: A Story of Ideas and Power in Our Time,Yascha Mounk,"Mounk, Yascha",,"=""0593493192""","=""9780593493199""",0,4.10,Penguin Press,Kindle Edition,414,2023,2023,,2024/01/18,to-read,to-read (#132),to-read,,,,0,0
16064871,"The Path to Power (The Years of Lyndon Johnson, Vol 1)",Robert A. Caro,"Caro, Robert A.",,"=""""","=""""",0,4.38,Vintage,Kindle Edition,960,2011,1982,,2024/01/18,to-read,to-read (#131),to-read,,,,0,0
16131032,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.27,Orbit,Paperback,539,2013,2013,2024/01/18,2023/07/22,,,read,,,,1,0
25986983,"Dawn (Legend of the Galactic Heroes, #1)",Yoshiki Tanaka,"Tanaka, Yoshiki",Daniel Huddleston,"=""1421584948""","=""9781421584942""",0,4.05,Haikasoru,Paperback,292,2016,1982,,2024/01/07,to-read,to-read (#130),to-read,,,,0,0
61150441,Vampire Hunter D Omnibus: Book Three,Hideyuki Kikuchi,"Kikuchi, Hideyuki","Yoshitaka Amano, Kevin Leahy","=""1506731880""","=""9781506731889""",0,4.18,Dark Horse Books,Paperback,624,2023,2023,,2024/01/07,to-read,to-read (#129),to-read,,,,0,0
59864461,"Vampire Hunter D Omnibus: Book Two (Vampire Hunter D Omnibus, 4,5,6)",Hideyuki Kikuchi,"Kikuchi, Hideyuki","Yoshitaka Amano, Kevin Leahy","=""1506731872""","=""9781506731872""",0,4.29,Dark Horse Books,Paperback,536,2022,2022,,2024/01/07,to-read,to-read (#128),to-read,,,,0,0
56705404,Vampire Hunter D Omnibus: Book One,Hideyuki Kikuchi,"Kikuchi, Hideyuki","Yoshitaka Amano, Kevin Leahy","=""1506725309""","=""9781506725307""",0,3.91,Dark Horse Books,Paperback,632,2021,2021,,2024/01/07,to-read,to-read (#127),to-read,,,,0,0
12390008,The Reactionary Mind: Conservatism from Edmund Burke to Sarah Palin,Corey Robin,"Robin, Corey",,"=""0199793743""","=""9780199793747""",0,3.95,Oxford University Press,Hardcover,290,2011,2011,,2024/01/07,currently-reading,currently-reading (#1),currently-reading,,,,1,0
42512,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore,"Moore, Harold G.",Joseph L. Galloway,"=""034547581X""","=""9780345475817""",0,4.33,Presidio Press,Paperback,480,2004,1991,,2023/07/22,to-read,to-read (#126),to-read,,,,0,0
35009620,"The Saga of Tanya the Evil, Vol. 1: Deus lo Vult",Carlo Zen,"Zen, Carlo",Shinobu Shinotsuki,"=""0316512443""","=""9780316512442""",0,4.15,Yen On,Paperback,344,2017,2013,2023/07/22,2023/07/22,,,read,,,,1,0
52930334,"The Saga of Tanya the Evil, Vol. 7: Ut Sementem Feceris, ita Metes (light novel)",Carlo Zen,"Zen, Carlo",,"=""""","=""""",0,4.36,Yen On,Kindle Edition,192,2020,2016,,2023/07/22,to-read,to-read (#125),to-read,,,,0,0
43906812,"The Saga of Tanya the Evil, Vol. 6: Nil Admirari (light novel)",Carlo Zen,"Zen, Carlo",,"=""""","=""""",0,4.14,Yen On,Kindle Edition,279,2019,2016,,2023/07/22,to-read,to-read (#124),to-read,,,,0,0
42045204,"The Saga of Tanya the Evil, Vol. 5: Abyssus Abyssum Invocat (light novel)",Carlo Zen,"Zen, Carlo",,"=""""","=""""",0,4.28,Yen On,Kindle Edition,336,2019,2016,,2023/07/22,to-read,to-read (#123),to-read,,,,0,0
41456263,"The Saga of Tanya the Evil, Vol. 4: Dabit Deus His Quoque Finem (light novel)",Carlo Zen,"Zen, Carlo",,"=""""","=""""",0,4.38,Yen On,Kindle Edition,192,2018,2015,,2023/07/22,to-read,to-read (#122),to-read,,,,0,0
38475652,"The Saga of Tanya the Evil, Vol. 3: The Finest Hour (light novel)",Carlo Zen,"Zen, Carlo",Shinobu Shinotsuki,"=""""","=""""",0,4.32,Yen On,Kindle Edition,341,2018,2014,,2023/07/22,to-read,to-read (#121),to-read,,,,0,0
37557419,"The Saga of Tanya the Evil, Vol. 2: Plus Ultra (light novel)",Carlo Zen,"Zen, Carlo",Shinobu Shinotsuki,"=""""","=""""",0,4.24,Yen On,Kindle Edition,504,2018,2014,,2023/07/22,to-read,to-read (#120),to-read,,,,0,0
55994102,Flying Blind: The 737 MAX Tragedy and the Fall of Boeing,Peter Robison,"Robison, Peter",,"=""0385546491""","=""9780385546492""",0,4.17,Doubleday,Hardcover,336,2021,2021,,2023/06/01,,,read,,,,2,0
62673108,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,"Hanks, Tom",Robert Sikoryak,"=""052565559X""","=""9780525655596""",0,3.71,Knopf,Hardcover,448,2023,2023,,2023/06/01,to-read,to-read (#119),to-read,,,,0,0
18635622,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,"Martin, George R.R.",Gary Gianni,"=""0345533488""","=""9780345533487""",0,4.23,Bantam Books,Hardcover,368,2015,2013,,2023/06/01,to-read,to-read (#118),to-read,,,,0,0
12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""1841499900""","=""9781841499901""",0,4.38,"Orbit/Little, Brown Book Group",Paperback,624,2012,2012,,2023/06/01,,,read,,,,1,0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.30,Orbit,Paperback,592,2011,2011,2022/11/24,2022/10/05,,,read,,,,1,0
984792,"Aces Abroad (Wild Cards, #4)",George R.R. Martin,"Martin, George R.R.",,"=""0743452410""","=""9780743452410""",0,3.79,iBooks,Paperback,521,2002,1988,,2022/10/20,to-read,to-read (#117),to-read,,,,0,0
67955,"Jokers Wild (Wild Cards, #3)",George R.R. Martin,"Martin, George R.R.","Walter Simons, John J.  Miller, Lewis Shiner, Edward Bryant, Melinda M. Snodgrass, Richard Kriegler, Leanne C. Harper","=""0553266993""","=""9780553266993""",0,3.92,Bantam,Mass Market Paperback,376,1987,1987,,2022/10/20,to-read,to-read (#116),to-read,,,,0,0
67961,"Aces High (Wild Cards, #2)",George R.R. Martin,"Martin, George R.R.",,"=""1596872837""","=""9781596872837""",0,3.86,Ibooks,Paperback,320,2001,1987,,2022/10/20,to-read,to-read (#115),to-read,,,,0,0
